Amount,Category,Clean Vendor,Description/Memo,Transaction Date,category,standardized_vendor
318.2,Software & Technology,Adobe,Annual platform fee,2023-10-03,Software & Technology,Adobe
424.77,Meals & Entertainment,Pizza Hut,Client meeting,2023-03-21,Meals & Entertainment,Pizza Hut
10.56,Other,Tridelic,Office supplies,2023-08-16,Other,Tridelic
111.99,Office Supplies & Equipment,Best Buy,Client meeting,2023-03-04,Office Supplies & Equipment,Best Buy
10.85,Meals & Entertainment,Domino's,Equipment purchase,2023-03-06,Meals & Entertainment,Domino's
43.16,Utilities & Rent,Comcast,Business expense,2023-11-02,Utilities & Rent,Comcast
1127.94,Other,Nimblyx,Monthly subscription,2023-01-14,Other,Nimblyx
8.87,Travel & Transportation,Southwest Airlines,Hardware services,2023-02-28,Travel & Transportation,Southwest Airlines
509.95,Office Supplies & Equipment,Best Buy,Business expense,2023-12-04,Office Supplies & Equipment,Best Buy
259.36,Software & Technology,Microsoft,Client meeting,2023-08-16,Software & Technology,Microsoft
599.47,Software & Technology,Netflix,Business expense,2023-11-02,Software & Technology,Netflix
14.36,Travel & Transportation,Airbnb,Annual platform fee,2023-10-10,Travel & Transportation,Airbnb
239.46,Travel & Transportation,United Airlines,Business expense,2023-07-08,Travel & Transportation,United Airlines
14.28,Software & Technology,Netflix,Team lunch,2023-02-19,Software & Technology,Netflix
660.78,Travel & Transportation,Marriott,Monthly subscription,2023-12-07,Travel & Transportation,Marriott
24.87,Other,Tridelic,Office supplies,2023-02-25,Other,Tridelic
2494.81,Travel & Transportation,Budget,Monthly subscription,2023-11-15,Travel & Transportation,Budget
71.34,Meals & Entertainment,Pizza Hut,Monthly subscription,2023-06-23,Meals & Entertainment,Pizza Hut
25.47,Software & Technology,Netflix,Equipment purchase,2023-02-16,Software & Technology,Netflix
857.73,Banking & Finance,Bank Of America,Monthly subscription,2023-11-02,Banking & Finance,Bank Of America
371.17,Meals & Entertainment,Chipotle,Client meeting,2023-04-21,Meals & Entertainment,Chipotle
-457.16,Software & Technology,Slack,Monthly subscription,2023-07-22,Software & Technology,Slack
1158.32,Office Supplies & Equipment,Walmart,Annual platform fee,2023-01-04,Office Supplies & Equipment,Walmart
12.59,Office Supplies & Equipment,Staples,Hardware services,2023-08-12,Office Supplies & Equipment,Staples
943.5,Other,Cobaltbridge,Office supplies,2023-07-27,Other,Cobaltbridge
113.06,Meals & Entertainment,Chipotle,Annual platform fee,2023-05-05,Meals & Entertainment,Chipotle
43.22,Meals & Entertainment,Whole Foods,Equipment purchase,2023-09-19,Meals & Entertainment,Whole Foods
815.67,Other,Cobaltbridge,Equipment purchase,2023-03-16,Other,Cobaltbridge
26.97,Software & Technology,Netflix,Hardware services,2023-08-26,Software & Technology,Netflix
143.1,Travel & Transportation,Hilton Hotels,Client meeting,2023-03-19,Travel & Transportation,Hilton Hotels
129.28,Meals & Entertainment,Starbucks,Monthly subscription,2023-08-20,Meals & Entertainment,Starbucks
420.24,Travel & Transportation,Enterprise Rent-a-car,Equipment purchase,2023-01-22,Travel & Transportation,Enterprise Rent-a-car
316.84,Banking & Finance,Wells Fargo,Team lunch,2023-06-25,Banking & Finance,Wells Fargo
530.41,Professional Services,Walgreens,Annual platform fee,2023-05-25,Professional Services,Walgreens
12.33,Other,Tridelic,Business expense,2023-07-17,Other,Tridelic
22.56,Meals & Entertainment,Pizza Hut,Business expense,2023-03-14,Meals & Entertainment,Pizza Hut
68.44,Other,Kitewave,Client meeting,2023-06-18,Other,Kitewave
26.96,Professional Services,CVS Pharmacy,Equipment purchase,2023-09-06,Professional Services,CVS Pharmacy
479.1,Other,Nimblyx,Team lunch,2023-01-20,Other,Nimblyx
1401.0,Software & Technology,Netflix,Office supplies,2023-01-23,Software & Technology,Netflix
1343.2,Travel & Transportation,Southwest Airlines,Business expense,2023-10-01,Travel & Transportation,Southwest Airlines
388.69,Other,Neopeak,Annual platform fee,2023-09-15,Other,Neopeak
10.41,Other,Orionedge Systems,Client meeting,2023-10-11,Other,Orionedge Systems
14.73,Software & Technology,Spotify,Monthly subscription,2023-08-19,Software & Technology,Spotify
118.34,Meals & Entertainment,Whole Foods,Team lunch,2023-02-20,Meals & Entertainment,Whole Foods
2184.51,Travel & Transportation,Enterprise Rent-a-car,Monthly subscription,2023-08-18,Travel & Transportation,Enterprise Rent-a-car
935.0,Other,Zetaflux Labs,Business expense,2023-05-28,Other,Zetaflux Labs
312.45,Travel & Transportation,Southwest Airlines,Monthly subscription,2023-09-13,Travel & Transportation,Southwest Airlines
564.81,Travel & Transportation,Hilton Hotels,Office supplies,2023-04-06,Travel & Transportation,Hilton Hotels
442.4,Utilities & Rent,Verizon,Annual platform fee,2023-08-29,Utilities & Rent,Verizon
12.39,Other,Arcadiaworks,Office supplies,2023-11-18,Other,Arcadiaworks
26.1,Office Supplies & Equipment,Home Depot,Team lunch,2023-12-23,Office Supplies & Equipment,Home Depot
-9.37,Other,Quantacore,Office supplies,2023-04-13,Other,Quantacore
333.01,Other,Solaranine,Office supplies,2023-08-04,Other,Solaranine
14.16,Other,Zetaflux Labs,Annual platform fee,2023-07-24,Other,Zetaflux Labs
1257.23,Travel & Transportation,Uber,Annual platform fee,2023-08-06,Travel & Transportation,Uber
12.32,Travel & Transportation,Uber,Annual platform fee,2023-08-17,Travel & Transportation,Uber
679.21,Professional Services,Walgreens,Annual platform fee,2023-01-30,Professional Services,Walgreens
8.87,Software & Technology,Spotify,Office supplies,2023-11-27,Software & Technology,Spotify
124.05,Travel & Transportation,Hilton Hotels,Office supplies,2023-10-21,Travel & Transportation,Hilton Hotels
361.53,Meals & Entertainment,Domino's,Business expense,2023-02-03,Meals & Entertainment,Domino's
40.35,Travel & Transportation,Delta Airlines,Hardware services,2023-08-20,Travel & Transportation,Delta Airlines
440.84,Other,Cobaltbridge,Office supplies,2023-03-22,Other,Cobaltbridge
-49.46,Software & Technology,Slack,Office supplies,2023-10-11,Software & Technology,Slack
964.88,Utilities & Rent,Comcast,Client meeting,2023-07-29,Utilities & Rent,Comcast
749.12,Office Supplies & Equipment,Target,Team lunch,2023-10-10,Office Supplies & Equipment,Target
10.98,Other,Nimblyx,Team lunch,2023-06-05,Other,Nimblyx
74.23,Travel & Transportation,United Airlines,Business expense,2023-11-22,Travel & Transportation,United Airlines
669.18,Office Supplies & Equipment,Walmart,Office supplies,2023-12-04,Office Supplies & Equipment,Walmart
680.58,Other,Tridelic,Hardware services,2023-11-13,Other,Tridelic
1365.26,Other,Square,Monthly subscription,2023-08-21,Other,Square
142.99,Meals & Entertainment,Safeway,Team lunch,2023-06-26,Meals & Entertainment,Safeway
318.9,Other,Solaranine,Monthly subscription,2023-03-14,Other,Solaranine
2745.7,Office Supplies & Equipment,Staples,Equipment purchase,2023-10-23,Office Supplies & Equipment,Staples
67.2,Other,Neopeak,Hardware services,2023-07-21,Other,Neopeak
370.14,Other,Orionedge Systems,Business expense,2023-12-11,Other,Orionedge Systems
868.97,Software & Technology,Salesforce,Monthly subscription,2023-01-24,Software & Technology,Salesforce
428.85,Travel & Transportation,Lyft,Client meeting,2023-11-16,Travel & Transportation,Lyft
131.24,Software & Technology,Salesforce,Annual platform fee,2023-03-15,Software & Technology,Salesforce
361.71,Software & Technology,Adobe,Office supplies,2023-09-21,Software & Technology,Adobe
69.14,Other,Cobaltbridge,Hardware services,2023-09-18,Other,Cobaltbridge
657.96,Office Supplies & Equipment,Walmart,Hardware services,2023-06-07,Office Supplies & Equipment,Walmart
542.6,Meals & Entertainment,Domino's,Annual platform fee,2023-09-03,Meals & Entertainment,Domino's
339.52,Travel & Transportation,Southwest Airlines,Annual platform fee,2023-12-20,Travel & Transportation,Southwest Airlines
967.2,Meals & Entertainment,Chipotle,Office supplies,2023-09-23,Meals & Entertainment,Chipotle
23.46,Other,Neopeak,Business expense,2023-07-10,Other,Neopeak
51.53,Travel & Transportation,Lyft,Hardware services,2023-05-28,Travel & Transportation,Lyft
843.89,Office Supplies & Equipment,Home Depot,Annual platform fee,2023-12-13,Office Supplies & Equipment,Home Depot
-1117.43,Other,Kitewave,Office supplies,2024-01-01,Other,Kitewave
460.95,Other,Arcadiaworks,Equipment purchase,2023-11-12,Other,Arcadiaworks
8.79,Meals & Entertainment,Pizza Hut,Team lunch,2023-08-30,Meals & Entertainment,Pizza Hut
375.86,Utilities & Rent,Comcast,Business expense,2023-05-28,Utilities & Rent,Comcast
23.16,Software & Technology,Dropbox,Hardware services,2023-01-19,Software & Technology,Dropbox
120.66,Travel & Transportation,Enterprise Rent-a-car,Hardware services,2023-10-06,Travel & Transportation,Enterprise Rent-a-car
49.72,Other,Nimblyx,Team lunch,2023-08-23,Other,Nimblyx
1134.94,Office Supplies & Equipment,Costco,Annual platform fee,2023-11-24,Office Supplies & Equipment,Costco
340.59,Software & Technology,Dropbox,Equipment purchase,2023-05-14,Software & Technology,Dropbox
925.23,Travel & Transportation,Budget,Monthly subscription,2023-07-04,Travel & Transportation,Budget
490.59,Banking & Finance,Bank Of America,Business expense,2023-06-09,Banking & Finance,Bank Of America
386.35,Travel & Transportation,United Airlines,Hardware services,2023-08-01,Travel & Transportation,United Airlines
657.05,Other,Orionedge Systems,Office supplies,2023-08-17,Other,Orionedge Systems
46.49,Travel & Transportation,Hilton Hotels,Hardware services,2023-06-17,Travel & Transportation,Hilton Hotels
428.21,Travel & Transportation,Delta Airlines,Annual platform fee,2023-03-09,Travel & Transportation,Delta Airlines
71.75,Office Supplies & Equipment,Amazon,Client meeting,2023-01-02,Office Supplies & Equipment,Amazon
11.29,Office Supplies & Equipment,Home Depot,Business expense,2023-08-30,Office Supplies & Equipment,Home Depot
848.93,Software & Technology,Zoom,Annual platform fee,2023-07-15,Software & Technology,Zoom
11.74,Meals & Entertainment,Pizza Hut,Equipment purchase,2023-09-28,Meals & Entertainment,Pizza Hut
917.5,Other,Zetaflux Labs,Hardware services,2023-04-28,Other,Zetaflux Labs
10.92,Travel & Transportation,Budget,Equipment purchase,2023-01-09,Travel & Transportation,Budget
2118.28,Travel & Transportation,Airbnb,Equipment purchase,2023-07-25,Travel & Transportation,Airbnb
608.26,Office Supplies & Equipment,Amazon,Business expense,2023-06-14,Office Supplies & Equipment,Amazon
785.2,Other,Square,Annual platform fee,2023-01-25,Other,Square
64.76,Other,Cobaltbridge,Equipment purchase,2023-08-31,Other,Cobaltbridge
423.93,Software & Technology,Netflix,Annual platform fee,2023-09-29,Software & Technology,Netflix
2355.24,Travel & Transportation,Delta Airlines,Business expense,2023-04-08,Travel & Transportation,Delta Airlines
49.66,Travel & Transportation,Airbnb,Equipment purchase,2023-12-10,Travel & Transportation,Airbnb
51.47,Office Supplies & Equipment,Costco,Equipment purchase,2023-03-02,Office Supplies & Equipment,Costco
1168.65,Travel & Transportation,Delta Airlines,Business expense,2023-11-29,Travel & Transportation,Delta Airlines
1430.49,Banking & Finance,American Express,Office supplies,2023-06-13,Banking & Finance,American Express
9.27,Software & Technology,Adobe,Business expense,2023-10-24,Software & Technology,Adobe
365.08,Office Supplies & Equipment,Costco,Hardware services,2023-06-22,Office Supplies & Equipment,Costco
116.2,Other,Neopeak,Monthly subscription,2023-09-08,Other,Neopeak
1064.89,Software & Technology,Apple,Client meeting,2023-11-19,Software & Technology,Apple
615.32,Software & Technology,Google,Monthly subscription,2023-09-05,Software & Technology,Google
-497.69,Utilities & Rent,Comcast,Team lunch,2023-12-24,Utilities & Rent,Comcast
2343.01,Software & Technology,Salesforce,Annual platform fee,2023-10-02,Software & Technology,Salesforce
855.16,Travel & Transportation,Southwest Airlines,Annual platform fee,2023-01-17,Travel & Transportation,Southwest Airlines
816.17,Utilities & Rent,Comcast,Client meeting,2023-11-08,Utilities & Rent,Comcast
334.92,Other,Zetaflux Labs,Monthly subscription,2023-12-17,Other,Zetaflux Labs
1370.26,Office Supplies & Equipment,Target,Team lunch,2023-09-02,Office Supplies & Equipment,Target
413.35,Travel & Transportation,Hilton Hotels,Office supplies,2023-03-13,Travel & Transportation,Hilton Hotels
1292.7,Professional Services,CVS Pharmacy,Business expense,2023-06-17,Professional Services,CVS Pharmacy
240.63,Other,Neopeak,Client meeting,2023-12-05,Other,Neopeak
12.09,Other,Arcadiaworks,Annual platform fee,2023-11-21,Other,Arcadiaworks
1163.66,Software & Technology,Salesforce,Hardware services,2023-04-06,Software & Technology,Salesforce
382.18,Banking & Finance,American Express,Monthly subscription,2023-06-16,Banking & Finance,American Express
488.25,Office Supplies & Equipment,Staples,Team lunch,2023-10-20,Office Supplies & Equipment,Staples
11.69,Software & Technology,Spotify,Client meeting,2023-06-03,Software & Technology,Spotify
536.93,Travel & Transportation,Southwest Airlines,Annual platform fee,2023-06-05,Travel & Transportation,Southwest Airlines
341.79,Meals & Entertainment,Chipotle,Team lunch,2023-11-30,Meals & Entertainment,Chipotle
27.06,Travel & Transportation,Airbnb,Equipment purchase,2023-05-30,Travel & Transportation,Airbnb
14.67,Travel & Transportation,Budget,Monthly subscription,2023-10-07,Travel & Transportation,Budget
2591.73,Other,Neopeak,Team lunch,2023-07-29,Other,Neopeak
1203.87,Travel & Transportation,Southwest Airlines,Annual platform fee,2023-11-03,Travel & Transportation,Southwest Airlines
136.8,Meals & Entertainment,Safeway,Client meeting,2023-11-01,Meals & Entertainment,Safeway
1186.85,Other,Cobaltbridge,Client meeting,2023-02-24,Other,Cobaltbridge
925.87,Banking & Finance,American Express,Team lunch,2023-07-20,Banking & Finance,American Express
14.28,Software & Technology,Microsoft,Office supplies,2023-06-28,Software & Technology,Microsoft
12.75,Travel & Transportation,Delta Airlines,Business expense,2023-06-13,Travel & Transportation,Delta Airlines
812.32,Other,Square,Team lunch,2023-05-05,Other,Square
49.56,Office Supplies & Equipment,Costco,Annual platform fee,2023-04-06,Office Supplies & Equipment,Costco
237.46,Meals & Entertainment,Chipotle,Client meeting,2023-04-16,Meals & Entertainment,Chipotle
70.69,Utilities & Rent,AT&T,Annual platform fee,2023-11-24,Utilities & Rent,AT&T
532.85,Travel & Transportation,Marriott,Client meeting,2023-06-02,Travel & Transportation,Marriott
808.01,Office Supplies & Equipment,Target,Annual platform fee,2023-11-02,Office Supplies & Equipment,Target
841.53,Banking & Finance,Chase Bank,Business expense,2023-03-27,Banking & Finance,Chase Bank
-2346.39,Office Supplies & Equipment,Target,Annual platform fee,2023-03-11,Office Supplies & Equipment,Target
350.52,Other,Solaranine,Client meeting,2023-09-08,Other,Solaranine
25.75,Travel & Transportation,United Airlines,Client meeting,2023-09-11,Travel & Transportation,United Airlines
130.63,Travel & Transportation,Budget,Equipment purchase,2023-08-14,Travel & Transportation,Budget
42.74,Other,Quantacore,Office supplies,2023-08-19,Other,Quantacore
1366.96,Other,Quantacore,Annual platform fee,2023-10-29,Other,Quantacore
1084.76,Software & Technology,Zoom,Team lunch,2023-05-24,Software & Technology,Zoom
498.73,Travel & Transportation,Enterprise Rent-a-car,Annual platform fee,2023-02-18,Travel & Transportation,Enterprise Rent-a-car
40.67,Other,Arcadiaworks,Hardware services,2023-05-07,Other,Arcadiaworks
13.51,Meals & Entertainment,Starbucks,Business expense,2023-02-17,Meals & Entertainment,Starbucks
502.7,Office Supplies & Equipment,Best Buy,Office supplies,2023-02-17,Office Supplies & Equipment,Best Buy
2238.21,Other,Solaranine,Team lunch,2023-05-26,Other,Solaranine
1080.65,Banking & Finance,Chase Bank,Client meeting,2023-08-24,Banking & Finance,Chase Bank
52.27,Other,Nimblyx,Team lunch,2023-11-29,Other,Nimblyx
835.52,Other,Square,Equipment purchase,2023-07-22,Other,Square
11.56,Software & Technology,Dropbox,Monthly subscription,2023-12-15,Software & Technology,Dropbox
259.95,Office Supplies & Equipment,Costco,Client meeting,2023-04-28,Office Supplies & Equipment,Costco
22.91,Software & Technology,Salesforce,Client meeting,2023-03-10,Software & Technology,Salesforce
827.49,Software & Technology,Google,Hardware services,2023-07-30,Software & Technology,Google
631.67,Other,Quantacore,Team lunch,2023-08-08,Other,Quantacore
934.66,Meals & Entertainment,Domino's,Business expense,2023-12-20,Meals & Entertainment,Domino's
70.2,Travel & Transportation,Airbnb,Annual platform fee,2023-05-03,Travel & Transportation,Airbnb
145.79,Banking & Finance,Chase Bank,Office supplies,2023-10-19,Banking & Finance,Chase Bank
1089.87,Travel & Transportation,Uber,Equipment purchase,2023-08-01,Travel & Transportation,Uber
69.84,Office Supplies & Equipment,Amazon,Annual platform fee,2023-08-01,Office Supplies & Equipment,Amazon
58.76,Utilities & Rent,AT&T,Office supplies,2023-03-21,Utilities & Rent,AT&T
648.24,Meals & Entertainment,Starbucks,Equipment purchase,2023-05-03,Meals & Entertainment,Starbucks
70.6,Professional Services,CVS Pharmacy,Monthly subscription,2023-03-31,Professional Services,CVS Pharmacy
1370.94,Software & Technology,Google,Business expense,2023-07-10,Software & Technology,Google
67.73,Software & Technology,Slack,Hardware services,2023-10-23,Software & Technology,Slack
72.76,Office Supplies & Equipment,Best Buy,Equipment purchase,2023-12-12,Office Supplies & Equipment,Best Buy
124.47,Software & Technology,Google,Annual platform fee,2023-01-19,Software & Technology,Google
73.83,Travel & Transportation,Southwest Airlines,Monthly subscription,2023-03-03,Travel & Transportation,Southwest Airlines
14.46,Utilities & Rent,Verizon,Client meeting,2023-09-06,Utilities & Rent,Verizon
938.76,Software & Technology,Google,Equipment purchase,2023-10-30,Software & Technology,Google
210.56,Utilities & Rent,AT&T,Office supplies,2023-11-22,Utilities & Rent,AT&T
59.26,Meals & Entertainment,Pizza Hut,Hardware services,2023-05-02,Meals & Entertainment,Pizza Hut
2464.52,Other,Nimblyx,Client meeting,2023-07-10,Other,Nimblyx
257.62,Banking & Finance,American Express,Office supplies,2023-05-30,Banking & Finance,American Express
127.17,Other,Kitewave,Client meeting,2023-04-14,Other,Kitewave
13.13,Software & Technology,Spotify,Business expense,2023-04-17,Software & Technology,Spotify
-958.91,Software & Technology,Slack,Client meeting,2023-06-17,Software & Technology,Slack
73.71,Office Supplies & Equipment,Home Depot,Equipment purchase,2023-07-27,Office Supplies & Equipment,Home Depot
10.98,Software & Technology,Salesforce,Annual platform fee,2023-03-08,Software & Technology,Salesforce
2137.62,Meals & Entertainment,Starbucks,Team lunch,2023-04-12,Meals & Entertainment,Starbucks
